id,name,height,weight,types
719,diancie,7,88,"['rock', 'fairy']"
720,hoopa,5,90,"['psychic', 'ghost']"
721,volcanion,17,1950,"['fire', 'water']"
722,rowlet,3,15,"['grass', 'flying']"
723,dartrix,7,160,"['grass', 'flying']"
724,decidueye,16,366,"['grass', 'ghost']"
725,litten,4,43,['fire']
726,torracat,7,250,['fire']
727,incineroar,18,830,"['fire', 'dark']"
728,popplio,4,75,['water']
729,brionne,6,175,['water']
730,primarina,18,440,"['water', 'fairy']"
731,pikipek,3,12,"['normal', 'flying']"
732,trumbeak,6,148,"['normal', 'flying']"
733,toucannon,11,260,"['normal', 'flying']"
734,yungoos,4,60,['normal']
735,gumshoos,7,142,['normal']
736,grubbin,4,44,['bug']
737,charjabug,5,105,"['bug', 'electric']"
738,vikavolt,15,450,"['bug', 'electric']"
739,crabrawler,6,70,['fighting']
740,crabominable,17,1800,"['fighting', 'ice']"
741,oricorio-baile,6,34,"['fire', 'flying']"
742,cutiefly,1,2,"['bug', 'fairy']"
743,ribombee,2,5,"['bug', 'fairy']"
744,rockruff,5,92,['rock']
745,lycanroc-midday,8,250,['rock']
746,wishiwashi-solo,2,3,['water']
747,mareanie,4,80,"['poison', 'water']"
748,toxapex,7,145,"['poison', 'water']"
749,mudbray,10,1100,['ground']
750,mudsdale,25,9200,['ground']
751,dewpider,3,40,"['water', 'bug']"
752,araquanid,18,820,"['water', 'bug']"
753,fomantis,3,15,['grass']
754,lurantis,9,185,['grass']
755,morelull,2,15,"['grass', 'fairy']"
756,shiinotic,10,115,"['grass', 'fairy']"
757,salandit,6,48,"['poison', 'fire']"
758,salazzle,12,222,"['poison', 'fire']"
759,stufful,5,68,"['normal', 'fighting']"
760,bewear,21,1350,"['normal', 'fighting']"
761,bounsweet,3,32,['grass']
762,steenee,7,82,['grass']
763,tsareena,12,214,['grass']
764,comfey,1,3,['fairy']
765,oranguru,15,760,"['normal', 'psychic']"
766,passimian,20,828,['fighting']
767,wimpod,5,120,"['bug', 'water']"
768,golisopod,20,1080,"['bug', 'water']"
769,sandygast,5,700,"['ghost', 'ground']"
770,palossand,13,2500,"['ghost', 'ground']"
771,pyukumuku,3,12,['water']
772,type-null,19,1205,['normal']
773,silvally,23,1005,['normal']
774,minior-red-meteor,3,400,"['rock', 'flying']"
775,komala,4,199,['normal']
776,turtonator,20,2120,"['fire', 'dragon']"
777,togedemaru,3,33,"['electric', 'steel']"
778,mimikyu-disguised,2,7,"['ghost', 'fairy']"
779,bruxish,9,190,"['water', 'psychic']"
780,drampa,30,1850,"['normal', 'dragon']"
781,dhelmise,39,2100,"['ghost', 'grass']"
782,jangmo-o,6,297,['dragon']
783,hakamo-o,12,470,"['dragon', 'fighting']"
784,kommo-o,16,782,"['dragon', 'fighting']"
785,tapu-koko,18,205,"['electric', 'fairy']"
786,tapu-lele,12,186,"['psychic', 'fairy']"
787,tapu-bulu,19,455,"['grass', 'fairy']"
788,tapu-fini,13,212,"['water', 'fairy']"
789,cosmog,2,1,['psychic']
790,cosmoem,1,9999,['psychic']
791,solgaleo,34,2300,"['psychic', 'steel']"
792,lunala,40,1200,"['psychic', 'ghost']"
793,nihilego,12,555,"['rock', 'poison']"
794,buzzwole,24,3336,"['bug', 'fighting']"
795,pheromosa,18,250,"['bug', 'fighting']"
796,xurkitree,38,1000,['electric']
797,celesteela,92,9999,"['steel', 'flying']"
798,kartana,3,1,"['grass', 'steel']"
799,guzzlord,55,8880,"['dark', 'dragon']"
800,necrozma,24,2300,['psychic']
801,magearna,10,805,"['steel', 'fairy']"
802,marshadow,7,222,"['fighting', 'ghost']"
803,poipole,6,18,['poison']
804,naganadel,36,1500,"['poison', 'dragon']"
805,stakataka,55,8200,"['rock', 'steel']"
806,blacephalon,18,130,"['fire', 'ghost']"
807,zeraora,15,445,['electric']
808,meltan,2,80,['steel']
809,melmetal,25,8000,['steel']
810,grookey,3,50,['grass']
811,thwackey,7,140,['grass']
812,rillaboom,21,900,['grass']
813,scorbunny,3,45,['fire']
814,raboot,6,90,['fire']
815,cinderace,14,330,['fire']
816,sobble,3,40,['water']
817,drizzile,7,115,['water']
818,inteleon,19,452,['water']
819,skwovet,3,25,['normal']
820,greedent,6,60,['normal']
821,rookidee,2,18,['flying']
822,corvisquire,8,160,['flying']
823,corviknight,22,750,"['flying', 'steel']"
824,blipbug,4,80,['bug']
825,dottler,4,195,"['bug', 'psychic']"
826,orbeetle,4,408,"['bug', 'psychic']"
827,nickit,6,89,['dark']
828,thievul,12,199,['dark']
829,gossifleur,4,22,['grass']
830,eldegoss,5,25,['grass']
831,wooloo,6,60,['normal']
832,dubwool,13,430,['normal']
833,chewtle,3,85,['water']
834,drednaw,10,1155,"['water', 'rock']"
835,yamper,3,135,['electric']
836,boltund,10,340,['electric']
837,rolycoly,3,120,['rock']
838,carkol,11,780,"['rock', 'fire']"
839,coalossal,28,3105,"['rock', 'fire']"
840,applin,2,5,"['grass', 'dragon']"
841,flapple,3,10,"['grass', 'dragon']"
842,appletun,4,130,"['grass', 'dragon']"
843,silicobra,22,76,['ground']
844,sandaconda,38,655,['ground']
845,cramorant,8,180,"['flying', 'water']"
846,arrokuda,5,10,['water']
847,barraskewda,13,300,['water']
848,toxel,4,110,"['electric', 'poison']"
849,toxtricity-amped,16,400,"['electric', 'poison']"
850,sizzlipede,7,10,"['fire', 'bug']"
851,centiskorch,30,1200,"['fire', 'bug']"
852,clobbopus,6,40,['fighting']
853,grapploct,16,390,['fighting']
854,sinistea,1,2,['ghost']
855,polteageist,2,4,['ghost']
856,hatenna,4,34,['psychic']
857,hattrem,6,48,['psychic']
858,hatterene,21,51,"['psychic', 'fairy']"
859,impidimp,4,55,"['dark', 'fairy']"
860,morgrem,8,125,"['dark', 'fairy']"
861,grimmsnarl,15,610,"['dark', 'fairy']"
862,obstagoon,16,460,"['dark', 'normal']"
863,perrserker,8,280,['steel']
864,cursola,10,4,['ghost']
865,sirfetchd,8,1170,['fighting']
866,mr-rime,15,582,"['ice', 'psychic']"
867,runerigus,16,666,"['ground', 'ghost']"
868,milcery,2,3,['fairy']
869,alcremie,3,5,['fairy']
870,falinks,30,620,['fighting']
871,pincurchin,3,10,['electric']
872,snom,3,38,"['ice', 'bug']"
873,frosmoth,13,420,"['ice', 'bug']"
874,stonjourner,25,5200,['rock']
875,eiscue-ice,14,890,['ice']
876,indeedee-male,9,280,"['psychic', 'normal']"
877,morpeko-full-belly,3,30,"['electric', 'dark']"
878,cufant,12,1000,['steel']
879,copperajah,30,6500,['steel']
880,dracozolt,18,1900,"['electric', 'dragon']"
881,arctozolt,23,1500,"['electric', 'ice']"
882,dracovish,23,2150,"['water', 'dragon']"
883,arctovish,20,1750,"['water', 'ice']"
884,duraludon,18,400,"['steel', 'dragon']"
885,dreepy,5,20,"['dragon', 'ghost']"
886,drakloak,14,110,"['dragon', 'ghost']"
887,dragapult,30,500,"['dragon', 'ghost']"
888,zacian,28,1100,['fairy']
889,zamazenta,29,2100,['fighting']
890,eternatus,200,9500,"['poison', 'dragon']"
891,kubfu,6,120,['fighting']
892,urshifu-single-strike,19,1050,"['fighting', 'dark']"
893,zarude,18,700,"['dark', 'grass']"
894,regieleki,12,1450,['electric']
895,regidrago,21,2000,['dragon']
896,glastrier,22,8000,['ice']
897,spectrier,20,445,['ghost']
898,calyrex,11,77,"['psychic', 'grass']"
899,wyrdeer,18,951,"['normal', 'psychic']"
900,kleavor,18,890,"['bug', 'rock']"
901,ursaluna,24,2900,"['ground', 'normal']"
902,basculegion-male,30,1100,"['water', 'ghost']"
903,sneasler,13,430,"['fighting', 'poison']"
904,overqwil,25,605,"['dark', 'poison']"
905,enamorus-incarnate,16,480,"['fairy', 'flying']"
906,sprigatito,4,41,['grass']
907,floragato,9,122,['grass']
908,meowscarada,15,312,"['grass', 'dark']"
909,fuecoco,4,98,['fire']
910,crocalor,10,307,['fire']
911,skeledirge,16,3265,"['fire', 'ghost']"
912,quaxly,5,61,['water']
913,quaxwell,12,215,['water']
914,quaquaval,18,619,"['water', 'fighting']"
915,lechonk,5,102,['normal']
916,oinkologne-male,10,1200,['normal']
917,tarountula,3,40,['bug']
918,spidops,10,165,['bug']
919,nymble,2,10,['bug']
920,lokix,10,175,"['bug', 'dark']"
921,pawmi,3,25,['electric']
922,pawmo,4,65,"['electric', 'fighting']"
923,pawmot,9,410,"['electric', 'fighting']"
924,tandemaus,3,18,['normal']
925,maushold-family-of-four,3,28,['normal']
926,fidough,3,109,['fairy']
927,dachsbun,5,149,['fairy']
928,smoliv,3,65,"['grass', 'normal']"
929,dolliv,6,119,"['grass', 'normal']"
930,arboliva,14,482,"['grass', 'normal']"
931,squawkabilly-green-plumage,6,24,"['normal', 'flying']"
932,nacli,4,160,['rock']
933,naclstack,6,1050,['rock']
934,garganacl,23,2400,['rock']
935,charcadet,6,105,['fire']
936,armarouge,15,850,"['fire', 'psychic']"
937,ceruledge,16,620,"['fire', 'ghost']"
938,tadbulb,3,4,['electric']
939,bellibolt,12,1130,['electric']
940,wattrel,4,36,"['electric', 'flying']"
941,kilowattrel,14,386,"['electric', 'flying']"
942,maschiff,5,160,['dark']
943,mabosstiff,11,610,['dark']
944,shroodle,2,7,"['poison', 'normal']"
945,grafaiai,7,272,"['poison', 'normal']"
946,bramblin,6,6,"['grass', 'ghost']"
947,brambleghast,12,60,"['grass', 'ghost']"
948,toedscool,9,330,"['ground', 'grass']"
949,toedscruel,19,580,"['ground', 'grass']"
950,klawf,13,790,['rock']
951,capsakid,3,30,['grass']
952,scovillain,9,150,"['grass', 'fire']"
953,rellor,2,10,['bug']
954,rabsca,3,35,"['bug', 'psychic']"
955,flittle,2,15,['psychic']
956,espathra,19,900,['psychic']
957,tinkatink,4,89,"['fairy', 'steel']"
958,tinkatuff,7,591,"['fairy', 'steel']"
959,tinkaton,7,1128,"['fairy', 'steel']"
960,wiglett,12,18,['water']
961,wugtrio,12,54,['water']
962,bombirdier,15,429,"['flying', 'dark']"
963,finizen,13,602,['water']
964,palafin-zero,13,602,['water']
965,varoom,10,350,"['steel', 'poison']"
966,revavroom,18,1200,"['steel', 'poison']"
967,cyclizar,16,630,"['dragon', 'normal']"
968,orthworm,25,3100,['steel']
969,glimmet,7,80,"['rock', 'poison']"
970,glimmora,15,450,"['rock', 'poison']"
971,greavard,6,350,['ghost']
972,houndstone,20,150,['ghost']
973,flamigo,16,370,"['flying', 'fighting']"
974,cetoddle,12,450,['ice']
975,cetitan,45,7000,['ice']
976,veluza,25,900,"['water', 'psychic']"
977,dondozo,120,2200,['water']
978,tatsugiri-curly,3,80,"['dragon', 'water']"
979,annihilape,12,560,"['fighting', 'ghost']"
980,clodsire,18,2230,"['poison', 'ground']"
981,farigiraf,32,1600,"['normal', 'psychic']"
982,dudunsparce-two-segment,36,392,['normal']
983,kingambit,20,1200,"['dark', 'steel']"
984,great-tusk,22,3200,"['ground', 'fighting']"
985,scream-tail,12,80,"['fairy', 'psychic']"
986,brute-bonnet,12,210,"['grass', 'dark']"
987,flutter-mane,14,40,"['ghost', 'fairy']"
988,slither-wing,32,920,"['bug', 'fighting']"
989,sandy-shocks,23,600,"['electric', 'ground']"
990,iron-treads,9,2400,"['ground', 'steel']"
991,iron-bundle,6,110,"['ice', 'water']"
992,iron-hands,18,3807,"['fighting', 'electric']"
993,iron-jugulis,13,1110,"['dark', 'flying']"
994,iron-moth,12,360,"['fire', 'poison']"
995,iron-thorns,16,3030,"['rock', 'electric']"
996,frigibax,5,170,"['dragon', 'ice']"
997,arctibax,8,300,"['dragon', 'ice']"
998,baxcalibur,21,2100,"['dragon', 'ice']"
999,gimmighoul,3,50,['ghost']
1000,gholdengo,12,300,"['steel', 'ghost']"
